ConvId,utterance0,utterance1,utterance2,utterance3,utterance4,utterance5,utterance6,utterance7,utterance8,utterance9,utterance10,utterance11,utterance12,utterance13,utterance14,utterance15,utterance16,utterance17,utterance18,utterance19,utterance20,utterance21,understanding,task-completion,interest-arousal,efficiency,dialogue-overall,justification-text
KM,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interesting Also, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.","SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",USER	You have a good day too. Bye.,,,,,,,,,,2.0,2.0,3.0,0.0,4.0,"The system gave recommendations the user accepted, but the user wasn't enthusiastic about them."
KM,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interesting Also, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.","SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",USER	You have a good day too. Bye.,,,,,,,,,,3.0,2.0,2.0,1.0,3.0,The system was engaging and gave a good recommendations while also engaging in conversation about the suggestions. The user got what they needed and ended the conversation.
KM,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interesting Also, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.","SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",USER	You have a good day too. Bye.,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,"The system had a great conversation here. Not all utterances had recommendations, but they had a light and fun conversation with the user."
KM,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interesting Also, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.","SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",USER	You have a good day too. Bye.,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,The user likes pretty much all of the suggestions made by the system and they have an engaging conversation as well.
G3,"USER   Hi, I love movies, I think I have run out of movies",SYSTEM   What sort of movies are you wanting to see?,"USER   I need a Christmas movie, something like “Die hard (1988)”","SYSTEM   Perhaps ""Debbie Does Dallas (1978)""","USER   no, I don't think that is a good one for the family. Can you recommend horror movies like ""The Conjuring (2013)"" Or ""The Exorcist (1973)""","SYSTEM   ""The Haunting (1999)"" is a really scary ghost movie. It's great.",USER   I don't like that one,"SYSTEM   I would also recommend ""Halloween (1978)"" it's very scary.You could watch the movie ""Scream (1996)"" it's great.","USER   mmm I would prefer something more like ""The Amityville Curse (1990)""","SYSTEM   Have you seen ""Seven (1995)""? That's a great one that is somewhat similar.",USER   Oh yea I will watch that again great choice!,SYSTEM   Great!! hope you enjoy!,USER  Thank you for the suggestions. Bye.!,,,,,,,,,,3.0,3.0,3.0,0.0,4.0,"The system started off terribly with a terrible recommendation completely out of line with the user's interests, but got better and made a great suggestion in the final round."
G3,"USER   Hi, I love movies, I think I have run out of movies",SYSTEM   What sort of movies are you wanting to see?,"USER   I need a Christmas movie, something like “Die hard (1988)”","SYSTEM   Perhaps ""Debbie Does Dallas (1978)""","USER   no, I don't think that is a good one for the family. Can you recommend horror movies like ""The Conjuring (2013)"" Or ""The Exorcist (1973)""","SYSTEM   ""The Haunting (1999)"" is a really scary ghost movie. It's great.",USER   I don't like that one,"SYSTEM   I would also recommend ""Halloween (1978)"" it's very scary.You could watch the movie ""Scream (1996)"" it's great.","USER   mmm I would prefer something more like ""The Amityville Curse (1990)""","SYSTEM   Have you seen ""Seven (1995)""? That's a great one that is somewhat similar.",USER   Oh yea I will watch that again great choice!,SYSTEM   Great!! hope you enjoy!,USER  Thank you for the suggestions. Bye.!,,,,,,,,,,3.0,3.0,1.0,1.0,5.0,The system gave a bad recommendation at first but then corrected itself by the second recommendation and in the end the user accepted the recommendation that was given.
G3,"USER   Hi, I love movies, I think I have run out of movies",SYSTEM   What sort of movies are you wanting to see?,"USER   I need a Christmas movie, something like “Die hard (1988)”","SYSTEM   Perhaps ""Debbie Does Dallas (1978)""","USER   no, I don't think that is a good one for the family. Can you recommend horror movies like ""The Conjuring (2013)"" Or ""The Exorcist (1973)""","SYSTEM   ""The Haunting (1999)"" is a really scary ghost movie. It's great.",USER   I don't like that one,"SYSTEM   I would also recommend ""Halloween (1978)"" it's very scary.You could watch the movie ""Scream (1996)"" it's great.","USER   mmm I would prefer something more like ""The Amityville Curse (1990)""","SYSTEM   Have you seen ""Seven (1995)""? That's a great one that is somewhat similar.",USER   Oh yea I will watch that again great choice!,SYSTEM   Great!! hope you enjoy!,USER  Thank you for the suggestions. Bye.!,,,,,,,,,,2.0,3.0,3.0,0.0,4.0,The system recommends a whole bunch of movies that the user does not like but finally ends up recommending a movie that the user does like and will watch.
G3,"USER   Hi, I love movies, I think I have run out of movies",SYSTEM   What sort of movies are you wanting to see?,"USER   I need a Christmas movie, something like “Die hard (1988)”","SYSTEM   Perhaps ""Debbie Does Dallas (1978)""","USER   no, I don't think that is a good one for the family. Can you recommend horror movies like ""The Conjuring (2013)"" Or ""The Exorcist (1973)""","SYSTEM   ""The Haunting (1999)"" is a really scary ghost movie. It's great.",USER   I don't like that one,"SYSTEM   I would also recommend ""Halloween (1978)"" it's very scary.You could watch the movie ""Scream (1996)"" it's great.","USER   mmm I would prefer something more like ""The Amityville Curse (1990)""","SYSTEM   Have you seen ""Seven (1995)""? That's a great one that is somewhat similar.",USER   Oh yea I will watch that again great choice!,SYSTEM   Great!! hope you enjoy!,USER  Thank you for the suggestions. Bye.!,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,"The system provided some movies that the user did not feel appropriate, but by the end gave one they would watch."
KU,USER	Hello,SYSTEM	Hi what kind of movies do you like,USER	Any good movies you can recommend from the horror genre?,"SYSTEM	Oh yes have you seen ""Jigsaw (2017)""","USER	I have not, but I will check it out. Good recommendation. I love old movies like ""Jaws  (1975)""","SYSTEM	old movies are awesome a weird horror flick is  ""May  (2002)""",USER	I've seen that one. It's great,"SYSTEM	oh wow not many people have I also love ""Cujo  (1983)"" I have a huge Stephen King fan","USER	Cujo is a classic, but it really made me afraid of dogs, couldn't look at St Bernard's the same after that one",SYSTEM	lol I showed it to my aunt when she got a new neighbor with 2 st bernards,USER	Poor aunt,"SYSTEM	going along with Stephen King ""Carrie  (1976)"" is great too",USER	Classic. I love Nancy Allen in that one,"SYSTEM	and there is a new Stephen King one that is awesome ""Gerald's Game (2017)"" but that is more of a psychlogical thriller",USER	I haven't heard of that I will check it out. See ya later.,,,,,,,,3.0,3.0,3.0,1.0,5.0,The system was able to give them a movie right away that they will enjoy and watch and also gave other movies that the user found to be great.
KU,USER	Hello,SYSTEM	Hi what kind of movies do you like,USER	Any good movies you can recommend from the horror genre?,"SYSTEM	Oh yes have you seen ""Jigsaw (2017)""","USER	I have not, but I will check it out. Good recommendation. I love old movies like ""Jaws  (1975)""","SYSTEM	old movies are awesome a weird horror flick is  ""May  (2002)""",USER	I've seen that one. It's great,"SYSTEM	oh wow not many people have I also love ""Cujo  (1983)"" I have a huge Stephen King fan","USER	Cujo is a classic, but it really made me afraid of dogs, couldn't look at St Bernard's the same after that one",SYSTEM	lol I showed it to my aunt when she got a new neighbor with 2 st bernards,USER	Poor aunt,"SYSTEM	going along with Stephen King ""Carrie  (1976)"" is great too",USER	Classic. I love Nancy Allen in that one,"SYSTEM	and there is a new Stephen King one that is awesome ""Gerald's Game (2017)"" but that is more of a psychlogical thriller",USER	I haven't heard of that I will check it out. See ya later.,,,,,,,,3.0,3.0,3.0,1.0,5.0,"The system is excellent. It understands the user's request, and suggests movies that are in the correct genre. The user responds positively to all of the recommendations, and shows interest in watching them or has already seen them."
