ConvId,utterance0,utterance1,utterance2,utterance3,relevance1,interestingness1,overall1,utterance4,utterance5,utterance6,utterance7,relevance2,interestingness2,overall2,utterance8,utterance9,utterance10,utterance11,relevance3,interestingness3,overall3
86,SYSTEM	Hi Any genre you love?,USER	I love horror Any recommendations?,"SYSTEM	Have you seen ""The Witch  (2015)"" ?","USER	I have, that one was great! I like ""Alien: Covenant (2017)""",4,2,4,"SYSTEM	That was good too.Have you seen ""The Blackcoat's Daughter (2015)"" ?",USER	No what is it about?,SYSTEM	It is hard to explain in short the devil. but really different.,"USER	awesome I will check it out, anything like ""Resident Evil: Apocalypse (2004)"" ?",4,3,4.0,SYSTEM	No not at all.Much more indie and phsycological.,USER	ok cool any other recommendations at this point?,"SYSTEM	Um ""High Tension (2003)"" tensionA french horror.",USER	Awesome I will check it out,4,3,4
86,SYSTEM	Hi Any genre you love?,USER	I love horror Any recommendations?,"SYSTEM	Have you seen ""The Witch  (2015)"" ?","USER	I have, that one was great! I like ""Alien: Covenant (2017)""",4,1,5,"SYSTEM	That was good too.Have you seen ""The Blackcoat's Daughter (2015)"" ?",USER	No what is it about?,SYSTEM	It is hard to explain in short the devil. but really different.,"USER	awesome I will check it out, anything like ""Resident Evil: Apocalypse (2004)"" ?",1,2,3.0,SYSTEM	No not at all.Much more indie and phsycological.,USER	ok cool any other recommendations at this point?,"SYSTEM	Um ""High Tension (2003)"" tensionA french horror.",USER	Awesome I will check it out,4,1,5
86,SYSTEM	Hi Any genre you love?,USER	I love horror Any recommendations?,"SYSTEM	Have you seen ""The Witch  (2015)"" ?","USER	I have, that one was great! I like ""Alien: Covenant (2017)""",4,1,5,"SYSTEM	That was good too.Have you seen ""The Blackcoat's Daughter (2015)"" ?",USER	No what is it about?,SYSTEM	It is hard to explain in short the devil. but really different.,"USER	awesome I will check it out, anything like ""Resident Evil: Apocalypse (2004)"" ?",1,2,4.0,SYSTEM	No not at all.Much more indie and phsycological.,USER	ok cool any other recommendations at this point?,"SYSTEM	Um ""High Tension (2003)"" tensionA french horror.",USER	Awesome I will check it out,4,1,5
SM,SYSTEM	hello! what kind of movies are you looking for tonight?,USER	Hi there! I am looking for a romantic comedy!,"SYSTEM	Awesome, you came to the right person!","USER	Cause frankly I am tired of ""Star Wars  (1977)"" . I live with nerds",1,2,4,"SYSTEM	Some of my favorites are ""Miss Congeniality  (2000)"" , ""Crazy, Stupid, Love (2011)"" , ""When in Rome  (2010)"" , and ""Letters to Juliet (2010)""Oh man I don't blame you. My ex was the same way.I needed Disney movies, he was all about ""Star Wars  (1977)"" , he usually won lol","USER	The only one of those I have seen has been ""Miss Congeniality  (2000)"" and I loved it! Fortunatly my husband will watch my stuff with me too",SYSTEM	That's awesome!,"USER	OH I LOVE Disney movies! I don't even know if I have a favorite cause I love them all. I can't wait to see ""A Wrinkle in Time """,4,2,3.0,"SYSTEM	Me neither!!!!It's hard, but I think my favorites are ""Moana  (2016)"" and ""Tangled (2010)""Have you seen ""Coco  (2017)"" ? Man, I sobbed.","USER	Yeah I love both of those too. They are so cute! I have not seen ""Coco  (2017)"" yet!",SYSTEM	Have tissues on hand. It's a really touching movie. I was really surprised by it.,USER	We will have to check that out this weekend Thanks a lot!,4,3,5
SM,SYSTEM	hello! what kind of movies are you looking for tonight?,USER	Hi there! I am looking for a romantic comedy!,"SYSTEM	Awesome, you came to the right person!","USER	Cause frankly I am tired of ""Star Wars  (1977)"" . I live with nerds",1,1,3,"SYSTEM	Some of my favorites are ""Miss Congeniality  (2000)"" , ""Crazy, Stupid, Love (2011)"" , ""When in Rome  (2010)"" , and ""Letters to Juliet (2010)""Oh man I don't blame you. My ex was the same way.I needed Disney movies, he was all about ""Star Wars  (1977)"" , he usually won lol","USER	The only one of those I have seen has been ""Miss Congeniality  (2000)"" and I loved it! Fortunatly my husband will watch my stuff with me too",SYSTEM	That's awesome!,"USER	OH I LOVE Disney movies! I don't even know if I have a favorite cause I love them all. I can't wait to see ""A Wrinkle in Time """,1,1,3.0,"SYSTEM	Me neither!!!!It's hard, but I think my favorites are ""Moana  (2016)"" and ""Tangled (2010)""Have you seen ""Coco  (2017)"" ? Man, I sobbed.","USER	Yeah I love both of those too. They are so cute! I have not seen ""Coco  (2017)"" yet!",SYSTEM	Have tissues on hand. It's a really touching movie. I was really surprised by it.,USER	We will have to check that out this weekend Thanks a lot!,1,2,4
SM,SYSTEM	hello! what kind of movies are you looking for tonight?,USER	Hi there! I am looking for a romantic comedy!,"SYSTEM	Awesome, you came to the right person!","USER	Cause frankly I am tired of ""Star Wars  (1977)"" . I live with nerds",1,2,4,"SYSTEM	Some of my favorites are ""Miss Congeniality  (2000)"" , ""Crazy, Stupid, Love (2011)"" , ""When in Rome  (2010)"" , and ""Letters to Juliet (2010)""Oh man I don't blame you. My ex was the same way.I needed Disney movies, he was all about ""Star Wars  (1977)"" , he usually won lol","USER	The only one of those I have seen has been ""Miss Congeniality  (2000)"" and I loved it! Fortunatly my husband will watch my stuff with me too",SYSTEM	That's awesome!,"USER	OH I LOVE Disney movies! I don't even know if I have a favorite cause I love them all. I can't wait to see ""A Wrinkle in Time """,4,2,4.0,"SYSTEM	Me neither!!!!It's hard, but I think my favorites are ""Moana  (2016)"" and ""Tangled (2010)""Have you seen ""Coco  (2017)"" ? Man, I sobbed.","USER	Yeah I love both of those too. They are so cute! I have not seen ""Coco  (2017)"" yet!",SYSTEM	Have tissues on hand. It's a really touching movie. I was really surprised by it.,USER	We will have to check that out this weekend Thanks a lot!,4,3,4
ZK,SYSTEM	Hey,USER	Heey,SYSTEM	You looking for something special?,USER	looking for some scary movies,1,1,2,"SYSTEM	what about ""Scream  (1996)""or maybe ""It  (2017)""","USER	ive seen all the ""Scream  (1996)"" I was not impressed ""It  (2017)"" lol","SYSTEM	alright..let me think ""Carrie  (1976)""","USER	classic love love ""Carrie  (1976)"" good pick Throw back is always good you got one more",4,3,5.0,"SYSTEM	yes!! ""A Nightmare on Elm Street (1984)""a good scary one for any kid growing up",USER	nice that still gave me nightmare,"SYSTEM	lolOh ""Split (2017)"" was really good!",USER	nice thanks,3,3,4
ZK,SYSTEM	Hey,USER	Heey,SYSTEM	You looking for something special?,USER	looking for some scary movies,1,2,3,"SYSTEM	what about ""Scream  (1996)""or maybe ""It  (2017)""","USER	ive seen all the ""Scream  (1996)"" I was not impressed ""It  (2017)"" lol","SYSTEM	alright..let me think ""Carrie  (1976)""","USER	classic love love ""Carrie  (1976)"" good pick Throw back is always good you got one more",4,1,5.0,"SYSTEM	yes!! ""A Nightmare on Elm Street (1984)""a good scary one for any kid growing up",USER	nice that still gave me nightmare,"SYSTEM	lolOh ""Split (2017)"" was really good!",USER	nice thanks,4,1,4
ZK,SYSTEM	Hey,USER	Heey,SYSTEM	You looking for something special?,USER	looking for some scary movies,1,1,3,"SYSTEM	what about ""Scream  (1996)""or maybe ""It  (2017)""","USER	ive seen all the ""Scream  (1996)"" I was not impressed ""It  (2017)"" lol","SYSTEM	alright..let me think ""Carrie  (1976)""","USER	classic love love ""Carrie  (1976)"" good pick Throw back is always good you got one more",4,1,5.0,"SYSTEM	yes!! ""A Nightmare on Elm Street (1984)""a good scary one for any kid growing up",USER	nice that still gave me nightmare,"SYSTEM	lolOh ""Split (2017)"" was really good!",USER	nice thanks,4,3,5
0X,SYSTEM	Hello!,USER	Hi im looking for a sci fi movie,SYSTEM	What kind of movie are you looking for?,"USER	like ""The Martian  (2015)""",1,1,1,"SYSTEM	Have you seen ""The Matrix (1999)"" or ""Event Horizon  (1997)"" ?","USER	Hated ""Event Horizon  (1997)"" ""The Matrix (1999)"" was good","SYSTEM	How about ""Pacific Rim  (2013)"" ?",USER	loved that one Something like that would be cool,4,3,5.0,"SYSTEM	Nice, did you see the new ""Kong: Skull Island (2017)"" ?",USER	no I didn't see that one,"SYSTEM	It is great! If you like big monster movies, it is phenomenal.",USER	I'll have to check it out I missed that one some how thanks,4,3,4
0X,SYSTEM	Hello!,USER	Hi im looking for a sci fi movie,SYSTEM	What kind of movie are you looking for?,"USER	like ""The Martian  (2015)""",1,2,3,"SYSTEM	Have you seen ""The Matrix (1999)"" or ""Event Horizon  (1997)"" ?","USER	Hated ""Event Horizon  (1997)"" ""The Matrix (1999)"" was good","SYSTEM	How about ""Pacific Rim  (2013)"" ?",USER	loved that one Something like that would be cool,4,1,4.0,"SYSTEM	Nice, did you see the new ""Kong: Skull Island (2017)"" ?",USER	no I didn't see that one,"SYSTEM	It is great! If you like big monster movies, it is phenomenal.",USER	I'll have to check it out I missed that one some how thanks,1,2,4
0X,SYSTEM	Hello!,USER	Hi im looking for a sci fi movie,SYSTEM	What kind of movie are you looking for?,"USER	like ""The Martian  (2015)""",1,2,2,"SYSTEM	Have you seen ""The Matrix (1999)"" or ""Event Horizon  (1997)"" ?","USER	Hated ""Event Horizon  (1997)"" ""The Matrix (1999)"" was good","SYSTEM	How about ""Pacific Rim  (2013)"" ?",USER	loved that one Something like that would be cool,4,3,5.0,"SYSTEM	Nice, did you see the new ""Kong: Skull Island (2017)"" ?",USER	no I didn't see that one,"SYSTEM	It is great! If you like big monster movies, it is phenomenal.",USER	I'll have to check it out I missed that one some how thanks,4,3,5
